county_fips,pivot_odds,log_pivot_odds
01117,1.499667e-06,-13.410268
01119,4.7962625e-05,-9.945088
01121,7.1248805e-06,-11.851917
01123,3.7943128e-06,-12.482007
01125,7.2386347e-06,-11.836078
01127,7.3681217e-06,-11.818348
01129,2.1362113e-05,-10.753892
01131,9.0378126e-05,-9.311508
01133,6.979007e-06,-11.872604
02001,0.00013590926,-8.903523
02002,8.606839e-05,-9.360369
02003,0.00019018659,-8.567505
02004,0.00027124534,-8.212487
02005,0.00033632634,-7.997429
02006,5.4727796e-05,-9.813139
02007,2.2129743e-05,-10.718588
02008,5.615281e-05,-9.787434
02009,4.326871e-05,-10.04808
02010,2.2548946e-05,-10.699822
02011,2.0954112e-05,-10.773175
02012,5.469596e-06,-12.116306
02013,5.5286233e-05,-9.802987
02014,8.910488e-05,-9.325697
02015,0.00020983274,-8.4692
02016,0.00023007373,-8.3771105
02017,0.00018631858,-8.588053
02018,0.00019405274,-8.54738
02019,0.0002565724,-8.2681
02020,0.0002452695,-8.313153
02021,0.00017913144,-8.627391
02022,0.0002577345,-8.26358
02023,0.00032125125,-8.043287
02024,0.00016996663,-8.679909
02025,0.0002382282,-8.342281
02026,0.00017280245,-8.663362
02027,0.00014543941,-8.835751
02028,9.179406e-05,-9.295963
02029,1.4339946e-05,-11.152462
02030,1.4785484e-05,-11.121864
02031,0.00010356695,-9.175292
02032,0.00018702012,-8.584294
02033,0.00013033542,-8.945399
02034,0.00012790496,-8.964223
02035,0.00021958654,-8.423764
02036,0.00020809962,-8.477493
02037,0.0004741242,-7.6540413
02038,0.0005502922,-7.505061
02039,0.000501355,-7.598196
02040,0.0005076527,-7.585713
02099,0.00028368592,-8.167643
04001,4.30852e-05,-10.052331
04003,7.792365e-06,-11.762366
04005,8.36035e-05,-9.389425
04007,1.0885828e-05,-11.428049
04009,3.5150056e-06,-12.55847
04011,6.698266e-05,-9.611076
04012,4.825672e-06,-12.241561
04013,1.3451665e-06,-13.518992
04015,1.6222857e-06,-13.331675
04017,4.1235868e-05,-10.096202
04019,1.2450853e-05,-11.293721
04021,8.046628e-06,-11.730257
04023,0.0001447678,-8.84038
04025,1.1680247e-06,-13.660196
04027,3.9206883e-05,-10.146658
05001,5.5417728e-05,-9.8006115
05003,8.659474e-05,-9.354272
05005,1.0094949e-05,-11.503475
05007,2.879301e-06,-12.757963
05009,5.8298806e-06,-12.052514
05011,0.00039307785,-7.8415027
05013,0.0001845034,-8.597843
05015,2.2703978e-06,-12.995556
05017,0.00053470006,-7.5338044
05019,0.00038184386,-7.8704987
05021,0.00021991083,-8.422289
05023,2.4032257e-05,-10.636113
05025,0.00010376184,-9.173412
05027,3.345801e-05,-10.30522
05029,9.0326575e-05,-9.312078
05031,2.274853e-05,-10.69101
05033,4.1433277e-06,-12.3940115
05035,0.00057791616,-7.456082
05037,6.524862e-05,-9.637305
05039,0.0005784796,-7.455107
05041,0.0013974477,-6.5731077
05043,0.00013845513,-8.884964
05045,4.5181255e-06,-12.307413
05047,5.3495798e-05,-9.835908
05049,0.00017423232,-8.655121
05051,1.0826121e-05,-11.433549
05053,3.7676677e-05,-10.186469
05055,5.0775343e-05,-9.8881
05057,0.00015762079,-8.755319
05059,6.4461245e-05,-9.6494465
05061,9.061927e-05,-9.308844
05063,2.8758735e-05,-10.456569
05065,0.00012884589,-8.956894
05067,0.0002806321,-8.178466
05069,3.405649e-05,-10.28749
05071,5.9472102e-05,-9.730003
05073,0.000408846,-7.802172
05075,0.00016699875,-8.697524
05077,0.00087061635,-7.046309
05079,0.0003298413,-8.016899
05081,0.00016926217,-8.684062
05083,3.301909e-05,-10.318425
05085,6.6293883e-06,-11.923998
05087,3.046864e-05,-10.398812
05089,2.7355478e-05,-10.506594
05091,2.6367898e-05,-10.543364
05093,0.00025802516,-8.262453
05095,0.0012989304,-6.646214
05097,8.750883e-05,-9.343771
05099,0.00027293141,-8.20629
05101,2.4623072e-05,-10.611827
05103,0.00025069262,-8.291283
05105,8.5311105e-05,-9.369205
05107,9.963616e-05,-9.213985
05109,9.65608e-05,-9.2453375
05111,0.00011768189,-9.047525
05113,1.6288868e-05,-11.025028
05115,8.546253e-06,-11.670017
05117,0.00011585687,-9.063155
05119,3.2117692e-05,-10.346104
05121,0.0001590832,-8.746083
05123,0.00095242856,-6.9564953
05125,3.7636394e-06,-12.490124
05127,5.2727286e-05,-9.850377
05129,3.6960417e-05,-10.205663
05131,3.3876483e-06,-12.595375
05133,0.000123021,-9.003156
05135,6.7082176e-05,-9.609592
05137,6.456417e-05,-9.647851
05139,8.295905e-06,-11.699749
05141,8.3672654e-05,-9.388598
05143,1.8190765e-05,-10.914597
05145,6.4440774e-06,-11.952349
05147,0.0013578939,-6.6018205
05149,7.897007e-05,-9.446442
06001,6.1222477e-07,-14.306167
06003,0.00517306,-5.264291
06005,6.688251e-06,-11.915158
06007,2.8364318e-05,-10.470379
06009,7.471214e-06,-11.804453
06011,0.00013441035,-8.914613
06013,3.6505014e-06,-12.520646
06015,6.5506174e-05,-9.633367
06017,1.0838921e-05,-11.432367
06019,1.0852166e-05,-11.431146
06021,3.4759774e-05,-10.26705
06023,4.7345697e-05,-9.9580345
06025,7.247336e-05,-9.532291
06027,0.00017742578,-8.636958
06029,4.7445606e-06,-12.258512
06031,2.7462771e-05,-10.502679
06033,0.00050666847,-7.5876536
06035,0.0,-36.841362
06037,3.7966046e-07,-14.783989
06039,2.1143862e-05,-10.764161
06041,3.5582957e-06,-12.546229
06043,4.0422605e-05,-10.116121
06045,3.3444965e-05,-10.30561
06047,5.5262593e-05,-9.803414
06049,1.4068328e-06,-13.47417
06051,0.00070989627,-7.2503915
06053,1.2113972e-05,-11.321151
06055,3.9249426e-05,-10.145574
06057,5.7844652e-05,-9.75775
06059,2.1457336e-06,-13.052029
06061,7.1090817e-06,-11.854137
06063,4.89195e-05,-9.925335
06065,4.5852926e-06,-12.292657
06067,6.8867935e-06,-11.885905
06069,0.00020920286,-8.472206
06071,6.2826584e-06,-11.977717
06073,2.8475845e-06,-12.769039
06075,2.5557043e-07,-15.179768
06077,1.8442888e-05,-10.900832
06079,2.6477665e-05,-10.539209
06081,2.7202102e-06,-12.814801
06083,2.0001382e-05,-10.819709
06085,1.8888437e-06,-13.179545
06087,3.4451107e-06,-12.578554
06089,9.005697e-07,-13.9202385
06091,0.00022875758,-8.382848
06093,3.4070734e-05,-10.287072
06095,1.8903926e-05,-10.876141
06097,4.252843e-06,-12.367923
06099,1.7786184e-05,-10.937089
06101,2.4326919e-05,-10.623927
06103,1.033973e-06,-13.782102
06105,0.00040480058,-7.812116
06107,1.0428779e-05,-11.470942
06109,1.1600404e-05,-11.3644705
06111,1.1124905e-05,-11.406324
06113,2.5128464e-05,-10.59151
